epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3763,1.01797,1.11978,1.48965,0.84632,0.76105,0.85364,0.50627,1.31047,1.02012,1.95169,0.000665782,0.000665782,0.000665782
2,179.649,1.04057,0.84437,1.50043,0.87266,0.80276,0.88104,0.53712,1.30204,0.90522,1.92247,0.00124451,0.00124451,0.00124451
3,263.75,1.01145,0.78703,1.47428,0.87886,0.82939,0.89743,0.5998,1.09021,0.83402,1.72557,0.00173523,0.00173523,0.00173523
4,347.008,0.95358,0.72696,1.42603,0.92179,0.87312,0.93804,0.6724,0.98485,0.64505,1.62336,0.001604,0.001604,0.001604
5,430.069,0.90262,0.66635,1.39247,0.94911,0.89029,0.95809,0.69822,0.93193,0.57893,1.54399,0.001472,0.001472,0.001472
6,534.387,0.77824,0.53094,1.44843,0.94627,0.90712,0.96919,0.71042,0.88893,0.52187,1.54248,0.00134,0.00134,0.00134
7,616.904,0.72802,0.47386,1.4038,0.95308,0.89698,0.96528,0.73729,0.83908,0.4948,1.44002,0.001208,0.001208,0.001208
8,698.947,0.70428,0.44872,1.37326,0.9568,0.91816,0.97373,0.72559,0.86936,0.47408,1.48848,0.001076,0.001076,0.001076
9,781.881,0.67351,0.42292,1.34888,0.95415,0.91511,0.97806,0.73185,0.85174,0.47353,1.45445,0.000944,0.000944,0.000944
10,864.71,0.64559,0.3915,1.31769,0.95919,0.93216,0.97549,0.76923,0.78621,0.42666,1.37893,0.000812,0.000812,0.000812
11,947.914,inf,0.37314,1.28977,0.98878,0.9108,0.97667,0.77226,0.76195,0.41147,1.36082,0.00068,0.00068,0.00068
12,1030.26,0.60056,0.35506,1.26601,0.97622,0.92836,0.97976,0.77734,0.75878,0.39831,1.34828,0.000548,0.000548,0.000548
13,1112.53,0.57815,0.33737,1.24439,0.96687,0.9397,0.9826,0.79169,0.71581,0.37176,1.31347,0.000416,0.000416,0.000416
14,1195.97,0.55703,0.32096,1.22716,0.97071,0.93467,0.98418,0.80212,0.70118,0.35964,1.28902,0.000284,0.000284,0.000284
15,1278.61,0.53807,0.30276,1.20641,0.98089,0.9309,0.98477,0.81019,0.68061,0.34789,1.277,0.000152,0.000152,0.000152
